Sample-id	  Run	          Library_Name	                      Organism	    geo_loc_name_country	  isolation_source
CB2R1	      SRR13485828	  FarmB.Cantaloupe.2.Read1&2	        plant        	Mexico	                Cantaloupe_farm_enviroment
CB1R1	      SRR13485829	  FarmB.Cantaloupe.1.Read1&2	        plant	        Mexico	                Cantaloupe_farm_enviroment
HA3R1	      SRR13485830	  FarmA.Hands.3.Read1&2	              human_skin   	Mexico	                Cantaloupe_farm_enviroment
HA2R1	      SRR13485831	  FarmA.Hands.2.Read1&2	              human_skin 	  Mexico	                Cantaloupe_farm_enviroment
HA1R1	      SRR13485832	  FarmA.Hands.1.Read1&2	              human_skin 	  Mexico	                Cantaloupe_farm_enviroment
SA3R1	      SRR13485833	  FarmA.Soil.3.Read1&2	              soil	        Mexico                	Cantaloupe_farm_enviroment
SA2R1	      SRR13485834	  FarmA.Soil.2.Read1&2              	soil	        Mexico	                Cantaloupe_farm_enviroment
CA3R1      	SRR13485835	  FarmA.Cantaloupe.3.Read1&2	        plant        	Mexico	                Cantaloupe_farm_enviroment
HB3R1	      SRR13485836  	FarmB.Hands.3.Read1&2	              human_skin 	  Mexico	                Cantaloupe_farm_enviroment
HB2R1	      SRR13485837	  FarmB.Hands.2.Read1&2                human_skin 	Mexico	                Cantaloupe_farm_enviroment
HB1R1	      SRR13485838  	FarmB.Hands.1.Read1&2	              human_skin   	Mexico	                Cantaloupe_farm_enviroment
SB3R1	      SRR13485839	  FarmB.Soil.3.Read1&2	              soil	        Mexico	                Cantaloupe_farm_enviroment
SB2R1	      SRR13485840	  FarmB.Soil.2.Read1&2	              soil	        Mexico                 	Cantaloupe_farm_enviroment
CB3R1	      SRR13485841	  FarmB.Cantaloupe.3.Read1&2	        plant	        Mexico	                Cantaloupe_farm_enviroment
CA2R1      	SRR13485842	  FarmA.Cantaloupe.2.Read1&2	        plant	        Mexico	                Cantaloupe_farm_enviroment
CA1R1	      SRR13485843	  FarmA.Cantaloupe.1.Read1&2	        plant	        Mexico	                Cantaloupe_farm_enviroment
